ItemSerialID,SerialNumber
15166,0703042103V0574
15167,0703042103V0575
15168,0703042103V0569
15169,0703042103V0304
15170,0703042103V0285
15171,0703902110V2760
15172,0701582045I0245
15173,0701582045I0248
15174,0701582045I0247
15175,0701582045I1751
15176,0701582045I1746
15177,0701582045I0241
15178,0701582045I1750
15179,0701582045I1752
15180,0701582045I1749
15181,0701582045I0242
15182,1105608
15183,2105LZ505HZM
15184,2046LZ57DSR9
15185,2105LZ5177P9
15186,2105LZ50JCB9
15187,2105LZ50JC19
15188,2046LZ51HKTM
15189,2046LZ51HKBM
15190,2046LZ51HKNM
15191,070170204I0284
15192,070170204I0281
15193,070170204I0282
15194,070170204I0285
15195,01153535-9Y40088RQ
15196,01153535-1240005RN
15197,01153535-1240035RN
15198,01153535-1240001RN
15199,011153577-1140129RM
15200,011153577-1140101RM
15201,011153577-0Z40041RM
15202,011153577-0Z40039RM
15203,011153577-0Z40040RM
15204,NP-PA703ULG-1
15205,01153393-8240127TB
15206,X5RU020023L
15207,201908A0140
15208,201908A0030
15209,201908A0172
15210,201906A0459
15211,201908A0028
15212,201910A0029
15213,A2H5R6V
15214,A29Q1YY
15215,A2C7UYL
15216,A29A9T1
15217,A29A9RR
15218,A2AYMWQ
15219,A260J20
15220,A260J1T
15221,A260J13
15222,A260J2T
15223,A260J18
15224,A260HYH
15225,A260J0H
15226,A260J0U
15227,A260HXQ
15228,A260J3E
15229,A260J36
15230,A267TEH
15231,A260J2W
15232,A260J21
15233,A260J07
15234,A267TDK
15235,A260J01
15236,A260J0J
15237,A267TC6
15238,A260HYE
15239,A260J29
15240,A267TC8
15241,A260J19
15242,A260J2X
15243,A25VHF9
15244,A260J2N
15245,A260J0X
15246,47B100997630049
15247,47B100997630029
15248,47B100997630050
15249,47B100997630026
15250,47B100997630028
15251,47B100997630030
15252,47B100997630027
15253,47B100997630047
15254,47A100964330012
15255,47A100964330013
15256,47A100964330002
15257,47A100964330001
15258,47A100964330003
15259,47A100964330005
15260,A1JB-235-0014
15261,A1JB-235-0128
15262,A1JB-235-0127
15263,A16958V
15264,A2JRAH9
15265,A2F9FEQ
15266,A2CXHH8
15267,A2KAP7Y
15268,A2FQF94
15269,A25C4F4
15270,A21MMNW
15271,A29YJ83
15272,A1WDJHT
15273,A1WDJCU
15274,A1WDJHM
15275,A1WDJDU
15276,A1WDJDV
15277,A1WDJA5
15278,A1WDJAR
15279,A1WDJDF
15280,A1WDJF1
15281,A1AHDA1
15282,A23N1TY
15283,A19CY6R
15284,A1XU9UL
15285,A1XU9V0
15286,A1XU9UC
15287,A1XU9TY
15288,A1XU9U8
15289,A1XU9UN
15290,A19R706
15291,A2AAP7T
15292,A222P5M
15293,DNI24230B07
15294,DNI250606PB
15295,DNI250606M2
15296,FOC2433L1MC
15297,0Y902105NB
15298,VNA2DW7H
15299,VNA2DW79
15300,A1KB-255-0036
15301,A1L3-263-0043
15302,A1L3-263-0045
15303,A1M4-198-0039
15304,A1M4-198-0037
15305,A1L3-263-0044
15306,FCZ2518R6CS
15307,FOC2505PCSX
15308,FOC2505PCVT
15309,FOC2505PCVP
15310,FOC2505PCRQ
15311,FOC2505PCT0
15312,FOC2505PCTX
15313,FOC2505PCUL
15314,FOC2505PCPE
15315,FOC2505PCM8
15316,FOC2505PCK7
15317,FOC2505PCQ6
15318,FOC2417PAMP
15319,FOC2505PCX4
15320,GET23100258
15321,GET231001R5
15322,GET231002UX
15323,GET231002GI
15324,GET231003GU
15325,GET2310033I
15326,GET231000KE
15327,GET231002GQ
15328,FCT2508RBDK
15329,FCT2508RBED
15330,FCT2508RBDT
15331,FCT2508RBEG
15332,FST2505RDLX
15333,FST2505RDLH
15334,FST2505RDLL
15335,FST2504RCVS
15336,FST2504RCUM
15337,FST2504RCVE
15338,CTS-CAM60-BRKT-1
15339,CTS-CAM60-BRKT-2
15340,CTS-CAM60-BRKT-3
15341,CTS-CAM60-BRKT-4
15342,CTS-CAM60-BRKT-5
15343,FDO2437J8LN
15344,FDO2506J0NJ
15345,FDO2506J7HZ
15346,FDO2502J1T7
15347,FDO2437J9LF
15348,FDO2506J6ZD
15349,FDO2506J6NB
15350,FDO2437J72P
15351,CTS-CAM-P60-1
15352,CTS-CAM-P60-2
15353,A26P0TL
15354,A2ANPM8
15355,A275P17
15356,A2802L3
15357,A275LVF
15358,A25U9EK
15359,3SL23288970
15360,3SL24347454
15361,3SL33289022
15362,3SL24401982
15363,3SL24401968
15364,1290107894
15365,1300107977
15366,ES925/12-1
15367,ES925/12-2
15368,ES925/12-3
15369,ES925/12-4
15370,ES925/12-5
15371,A310AL-FM-1
15372,A310AL-FM-2
15373,A310AL-FM-3
15374,A310AL-FM-4
15375,A310AL-FM-5
15376,A310AL-FM-6
15377,A310AL-FM-7
15378,A310AL-FM-8
15379,A310AL-FM-9
15380,A310AL-FM-10
15381,A310AL-FM-11
15382,A310AL-FM-12
15383,A310AL-FM-13
15384,A310AL-FM-14
15385,A310AL-FM-15
15386,A310AL-FM-16
15387,A310AL-FM-17
15388,A310AL-FM-18
15389,A310AL-FM-19
15390,A310AL-FM-20
15391,B20210037
15392,B20210038
15393,B20210039
15394,B20210040
15395,075224H010110001AE
15396,A21W2CA
15397,A21W2CK
15398,A21W2C2
15399,A21W2C1
15400,A2CYVLR
15401,A23N6VN
15402,4563827
15403,4560847
15404,4528651
15405,4559998
15406,4570493
15407,4570482
15408,4570479
15409,3TI05971025
15410,3SL16901418
15411,SB930-1
15412,SB930-2
15413,SB930-3
15414,SB930-4
15415,SB930-5
15416,SB930-6
15417,SB930-7
15418,SB930-8
15419,SB930-9
15420,SB930-10
15421,SB930-11
15422,SB930-12
15423,SB930-13
15424,SB930-14
15425,SB930-15
15426,A400SMXLR-1
15427,A400SMXLR-2
15428,A400SMXLR-3
15429,A400SMXLR-4
15430,GS-218533
15431,GS-218529
15432,GS-218550
15433,GS-218536
15434,GS-218532
15435,6505323-1
15436,6505323-2
15437,2116JBH08253
15438,2116JBH08122
15439,2008JBH22446
15440,2009JBH05606
15441,1944NEJ09277
15442,6500187-1
15443,6500187-2
15444,6500187-3
15445,6502429-5
15446,6502429-6
15447,6502429-7
15448,6502429-8
15449,6502429-9
15450,6502429-10
15451,2035JBH29460
15452,2036JBH29086
15453,2036JBH29142
15454,2035JBH29461
15455,1921JBH30626
15456,1921JBH30168
15457,2013JBH11099
15458,2013JBH11123
15459,2048JBH00466
15460,6503183-1
15461,6503183-2
15462,6503183-3
15463,6503183-4
15464,6503183-5
15465,6503183-6
15466,6503183-7
15467,6503183-8
15468,6503183-9
15469,6503183-10
15470,6503183-11
15471,6511129-1
15472,2046NEJ08260
15473,US
15474,1945JFH11632
15475,K2JLWXMHFX
15476,NVJCWMT9D3
15477,H57VVY6VDL
15478,KD9PPH2D12
15479,VXR45V21MH
15480,V0MCQK95MH
15481,Q6QCLJQWKX
15482,QW5R456X30
15483,LQ4V1X971W
15484,KTV64Q5V6H
15485,WJ667C2DQ0
15486,XJNXY9J2X5
15487,FHVJ75T7T3
15488,LMJ4GGJMQP
15489,L217XYF3GD
15490,NQFQWGH61F
15491,KQ26JXDWXW
15492,YG216PJ6F1
15493,M23W3QFXG7
15494,QQGVGQHW9K
15495,M6DLQ30Q96
15496,FFKWR24FV0
15497,N5W225M62C
15498,N7357X6MP3
15499,VK91MVXX35
15500,JF6DM4QCMJ
15501,Y3537WR9DX
15502,V7N4YGHCDT
15503,RCV4NL7XKN
15504,FDQN6XG4NG
15505,PFXH2WVQK4
15506,T6HPF4VQG5
15507,D52RLW7P6W
15508,PKC4NC2WH9
15509,CWD467R2H2
15510,V57G50QM2F
15511,VYT6LY4TYX
15512,WP4DWMD9GR
15513,D794056NJJ
15514,T97XHJNVRF
15515,K6X541WG2C
15516,T6QM4L602K
15517,D4Q5L430GQ
15518,TVT7JHXG62
15519,KW6HN464D6
15520,JL91TXK70M
15521,DQDHF93TQN
15522,CD7J9MF6TX
15523,V0V9XLP7J9
15524,63490566
15525,63488091
15526,63489946
15527,63488217
15528,63490026
15529,63490541
15530,63490457
15531,63488176
15532,60742698
15533,60742754
15534,240468175
15535,240468176
15536,240468139
15537,240468118
15538,240468117
15539,D1E9AX003280
15540,DMRFDCTFQ1GC
15541,DMPF51G6Q1GC
15542,DMPFRLNELM93
15543,DMPF43S2LM93
15544,DMPF43S4LM93
15545,DMPGD06AQ196
15546,DMPGH0BJQ196
15547,DMPG4045Q196
15548,DMPG61VWQ196
15549,14X10609703225
15550,18L30M2BA01101
15551,315727113
15552,315727198
15553,Z210190P3
15554,H7HQH92NG4
15555,SG1123D01C
15556,SG1123D069
15557,01153350-0240002RF
15558,A2CHY3D
15559,A1WNYW5
15560,A1WNYT4
15561,140251614092400617
15562,FOC2416KKTP
15563,FOC2416KKNR
15564,FOC2416NZWH
15565,A2C0VW7
15566,A0898ZT
15567,MXC420DF/C-1
15568,MXC420DF/C-2
15569,MXC420DF/C-3
15570,MXC420DF/C-4
15571,2012SCQ04C69
15572,2012SCQ04C89
15573,2012SCQ06NF9
15574,2015SCQ01Z29
15575,2015SCQ02RQ9
15576,2015SCQ02RT9
15577,2012SCQ04AU9
15578,2002SCQ04V79
15579,2015SCQ02RS9
15580,2015SCQ02S09
15581,GP14H446JW
15582,A2EVNWR
15583,A2ENVXJ
15584,A2H64RW
15585,A2ENVWT
15586,A2H64UE
15587,A2H64RR
15588,A2H64RQ
15589,A2AE2PU
15590,A23WU9N
15591,A23WTYP
15592,A23WU9X
15593,A23WUW5
15594,A23WUM3
15595,A23WUM6
15596,A23WUM5
15597,840014206261-1
15598,840014206261-2
15599,840014206261-3
15600,840014206261-4
15601,840014206261-5
15602,8-52220-006511-1-1
15603,8-52220-006511-1-2
15604,8-52220-006511-1-3
15605,8-52220-006511-1-4
15606,8-52220-006511-1-5
15607,3215174
15608,FOC2707N7ZD
15609,GET261504Q7
15610,GET2615052O
15611,060271H93390001AE
15612,A2AQCRW
15613,A2AQCP9
15614,A2AQCU1
15615,X48600006747
15616,50B4097TA0057
15617,22075T9000834
15618,6502429-01
15619,6502429-02
15620,D1E9AU3000405
15621,A27A6J5
15622,A27A6P7
15623,A25XX1H
15624,A25XX2A
15625,A23EPTT
15626,A23EPTA
15627,A21HMLR
15628,003421-1
15629,003421-2
15630,005063-1
15631,005063-2
15632,003193-1
15633,003193-2
15634,003193-3
15635,009384-1
15636,009384-2
15637,2018WD024779
15638,060849Z92270185AE
15639,4-016842-804634-1
15640,4-016842-804634-2
15641,4-016842-804634-3
15642,S01-3202823-6
15643,2014NEJ01909
15644,2014NEJ01974
15645,P4620001T
15646,P4620005V
15647,005085-1
15648,005085-2
15649,003226-1
15650,003226-2
15651,003226-3
15652,1155117
15653,1155148
15654,1155143
15655,1155142
15656,1155149
15657,X58V150006L
15658,X58V150015L
15659,X58V160043L
15660,X54S0600052
15661,X2G600008067
15662,X2G600008069
15663,908618361421
15664,908618359436
15665,908618358163
15666,908618361883
15667,908618364423
15668,908618361881
15669,908618358165
15670,FOC2643HQDF
15671,FOC2643HQG9
15672,FOC2643HQG1
15673,6502429-1
15674,6502429-2
15675,6502429-3
15676,6502429-4
15677,1873213828
15678,A26HUHL
15679,3AA21363933
15680,3AA29994112
15681,A29CT2R
15682,51791-1-1
15683,51791-1-2
15684,51791-1-3
15685,51791-1-4
15686,51791-1-5
15687,51791-1-6
15688,51791-1-7
15689,51791-1-8
15690,51791-1-9
15691,1945JBH18216
15692,1161324
15693,1161320
15694,1161317
15695,1161321
15696,A2R2WV4
15697,A2W91U5
15698,CN-0GC5MT-FCC00-04F-C5KL
15699,23035726
15700,1948NEJ10672
15701,1948NEJ11030
15702,FTR100-1
15703,F0C2433L1ML
15704,3BB15016127
15705,3BB15016090
15706,3CG19887245
15707,5692984
15708,IC3104PL-08-F06908
15709,IC3104PL-08-F06959
15710,IC3104PL-08-F06936
15711,IC3104PL-08-F06883
15712,IC3104PL-08-F06939
15713,IC3104PL-08-F06957
15714,IC3104PL-08-F06897
15715,IC3104PL-08-F06868
15716,IC3104PL-08-F06964
15717,IC3104PL-08-F06938
15718,IC3104PL-08-F06963
15719,IC3104PL-08-F06896
15720,IC3104PL-08-F06943
15721,IC3104PL-08-F06961
15722,IC3104PL-08-F06962
15723,IC3104PL-08-F06933
15724,IC3104PL-08-F06926
15725,2329JVH10151
15726,2329JBH10146
15727,2324JBH01969
15728,2325NEJ03681
15729,6511127-1
15730,6511127-2
15731,2328ATH30324
15732,2328ATH30579
15733,2328ATH30507
15734,2319JBH04545
15735,2332NEJ24199
15736,6502429-11
15737,2329JBH05168
15738,2329JBH05182
15739,A1N9-067-0066
15740,A1N9-067-0064
15741,A1N9-067-0065
15742,ACF20908633
15743,ACF29942177
15744,ACF30951385
15745,ACF20908431
15746,1155198
15747,1155200
15748,1155194
15749,1155196
15750,A2TLM68
15751,A2TLMA4
15752,2337JBH02339
15753,2337JBH05668
15754,2327SY02UFS
15755,2336SY01QJ86
15756,2336SY01QJ79
15757,2336SY01QJ49
15758,2336SY01QJ39
15759,2336SY01QJ59
15760,2336SY01QJ69
15761,2336SY01MEC9
15762,2336SY01MEG9
15763,2336SY01MEF9
15764,2336SY01MED9
15765,2336SY01MEB9
15766,2336SY01MEE9
15767,2336SY01NEJ9
15768,2336SY01NEK9
15769,2336SY01NEL9
15770,2336SY01NEM9
15771,2336SY01NEP9
15772,2336SY01NEN9
15773,2338JBM06379
15774,A2UD1F9
15775,FOC2450N747
15776,GET231003FV
15777,GET231000LK
15778,GET231000KV
15779,GET231002JX
15780,2347ISM19077
15781,310202-1
15782,310202-2
15783,310202-3
15784,310202-4
15785,310202-5
15786,6-281127-232121-1
15787,6-281127-232121-2
15788,6VC93A5NA00E7
15789,19T30M28B01746
15790,19T30M28B01590
15791,HXHXWC06VH
15792,H9FFRQ7D9J
15793,CG27XY5Y64
15794,G6V2V320GD
15795,FY3393QMQ9
15796,6G3B355DA01EA
15797,A2VLHJX
15798,A2VLHKM
15799,A2QJ3HK
15800,A2QJ3EM
15801,A2QJ3N2
15802,A2QJ3HL
15803,A2VLHL0
15804,A2QJ3NM
15805,A2VLHK0
15806,A2T63LH
15807,A2QJ3MX
15808,A2QJ3Q5
15809,A2VLHKL
15810,A2T63JT
15811,A2VLHK5
15812,A2VLHKW
15813,A2QJ3FM
15814,A2QJ3MU
15815,A2QJ3MM
15816,A2VLHK2
15817,2339WD05BEF9
15818,2339WD05DC19
15819,2339WD05C5B9
15820,2339WD05B869
15821,A2W91X2
15822,A2W91CE
15823,A2W91WK
15824,A2W91W1
15825,A2W91XX
15826,A2W919L
15827,A2RXWRW
15828,A2W91AM
15829,A2W91C1
15830,A2W91AN
15831,A2W91WJ
15832,A2W9182
15833,A2W91WL
15834,A2W91A1
15835,A2W91WN
15836,A2W918M
15837,A2W91AC
15838,A2W91WU
15839,A2W9183
15840,A2W919T
15841,A2W919K
15842,A2W919R
15843,A2W91YD
15844,A2VKL56
15845,A2RXWCD
15846,A2W91WP
15847,A2W91A9
15848,A2W91WT
15849,A2W91YL
15850,A2W9190
15851,A2W91AF
15852,A2W91AT
15853,A2RXWT3
15854,A2W91XD
15855,OS2CP0019006H
15856,OS2CP0018706H
15857,0SC9P0004005H
15858,0SC9P0011605H
15859,0SC9P0011405H
15860,A2WHY2K
15861,A2WHWP5
15862,A2F98HE
15863,A2VQYPA
15864,A2W7MXH
15865,A2WHXVD
15866,A2WHWPN
15867,A2WHXVT
15868,A2WHXYY
15869,A2WHXVQ
15870,A2WHXV6
15871,A2WRFE4
15872,A2WRFM1
15873,A2WHXUT
15874,A2DLQDF
15875,A2WRFLW
15876,A2WHXW6
15877,A2WHXWP
15878,A2WHXV5
15879,A2WHWQJ
15880,A2WHXVF
15881,A2WHY2U
15882,A2WHWM7
15883,A2WRH94
15884,A2WRFEE
15885,A2WHXVJ
15886,A2WHXU6
15887,A2WHY30
15888,A2WHXUX
15889,A2WRH0F
15890,A2W7M8W
15891,A2WHXU8
15892,A2WHWMV
15893,A2WHWPL
15894,A2V95D3
15895,A2V95DV
15896,A2V959W
15897,A2V95DU
15898,A2V956C
15899,A2V9545
15900,A2V9595
15901,A2V95AJ
15902,A2V955W
15903,A2V95F0
15904,A2V95CD
15905,A2V95CE
15906,A2V958U
15907,A2V9531
15908,A2V95D1
15909,A2V954F
15910,A2V95EJ
15911,A2V95AT
15912,A2V955Q
15913,A2V952E
15914,A2V95A4
15915,A2NUUT1
15916,A2NUUU9
15917,A2Q87V6
15918,A2R4RD5
15919,A2R4RD2
15920,A2R3HPR
15921,A2R3HNK
15922,A2R0MRJ
15923,TYE2C8001352
15924,TYE2CP002695
15925,A2TLQ1X
15926,6502429-03
15927,2202JBH16496
15928,304874
15929,304866
15930,304870
15931,304879
15932,304867
15933,304880
15934,304877
15935,304865
15936,304868
15937,304881
15938,304864
15939,304871
15940,304883
15941,304875
15942,303876
15943,304882
15944,304878
15945,304873
15946,304872
15947,304869
15948,303770
15949,303773
15950,1948JBH11263
15951,06LC3K6T400455
15952,06LB3K6R900391
15953,CAB-18U-1
15954,CAB-18U-2
15955,CAB-18U-3
15956,CAB-42U-2
15957,05RF3K6NB00260
15958,04LH3K3KB0077
15959,995903019100652
15960,995903019100644
15961,995903019100603
15962,995903019100645
15963,995903019100646
15964,995903019100618
15965,995903019100649
15966,995903019100650
15967,01042401019160249
15968,01042401019160295
15969,312505016430859
15970,7368150-1
15971,7368150-2
15972,669101017510312
15973,735101018130167
15974,1045802019180336
15975,1045802019180306
15976,965602019130183
15977,1045802019180331
15978,735101018130176
15979,1181901019440265
15980,965602019030158
15981,735101018130177
15982,1045802019180311
15983,06L93K3R500079
15984,06L93K3R500100
15985,06L93K3R400012
15986,CAB-42U-1
15987,6956100400018-1
15988,6956100400018-2
15989,6956100400018-3
15990,SPS-502m-1
15991,SPS-502m-2
15992,SPS-502m-3
15993,SPS-502m-4
15994,C03907U054
15995,C03907U128
15996,C03907U119
15997,C03907U126
15998,01005322NB
15999,3X001389DB
16000,RMI3-FLIP-1
16001,RMI3-FLIP-2
16002,RMI3-FLIP-3
16003,RMI3-FLIP-4
16004,305INTX5Y267
16005,305INLV5Y296
16006,305INNG5Y303
16007,305INAR5Y304
16008,305INUB5Y302
16009,305INGQ5Y295
16010,305INEW5Y300
16011,306NSA33262
16012,CAB-42U-3
16013,91-NS10-1
16014,300322
16015,RPAU-1
16016,RPAU-2
16017,FSR1U-1
16018,PRG-UNV-W-1
16019,PRG-UNV-W-2
16020,PRG-UNV-W-3
16021,CMA100-1
16022,CMA100-2
16023,NB-ACC-058-1
16024,ACC852W-1
16025,ACC852W-2
16026,ACC852W-3
16027,02464490293034BC
16028,8440264152
16029,8021298212
16030,A29P76L
16031,A29P7E5
16032,A2D9NNX
16033,A2CPDL8
16034,401287
16035,1350
16036,1360
16037,3AV18992271
16038,3AV18988302
16039,3AV18988314
16040,3TI07165766
16041,3AV1899257
16042,3AV18992601
16043,3TI0716288
16044,3AV1899269
16045,3AV8992562
16046,3TJ21679704
16047,3TJ21679932
16048,3TJ21679944
16049,3TJ21679970
16050,3AV18992550
16051,1404-0324
16052,A0XAVF6
16053,51791-1-10
16054,51791-1-11
16055,51791-1-12
16056,51791-1-13
16057,51791-1-14
16058,51791-1-15
16059,51791-1-16
16060,51791-1-17
16061,51791-1-18
16062,51791-1-19
16063,21344129
16064,1948JBH10704
16065,1938JBH00736
16066,1938JBH00982
16067,11105417
16068,6510597-1
16069,FR807370081
16070,FR807370055
16071,FR807370009
16072,FR807370054
16073,FR807370040
16074,FR807370097
16075,U-905-024640-A
16076,U-905-024639-A
16077,U-905-024642-A
16078,A0XAW0J
16079,A17LPPA
16080,A1C40LW
16081,A1EFK8D
16082,91407550
16083,91407590
16084,A23D8TQ
16085,A23D8U2
16086,A20VAQ8
16087,A20VAL2
16088,A20VAMY
16089,A20VAPH
16090,A22Y315
16091,A23H3WF
16092,A23H3W9
16093,A21HMLV
16094,A25A2UV
16095,1750NEJ11302
16096,A24DWRA
16097,A24DWQK
16098,A2CX9DU
16099,15602CFL220901671
16100,15602CFL220901670
16101,14406ASL62102722709
16102,14406ASL62102722708
16103,14406ASL62102722707
16104,912102001064
16105,ESE-Ha-1
